query,scan_bytes,latency_ms
SELECT * FROM users WHERE id = 35276,1157971,17
SELECT * FROM users WHERE id = 17158,1103657,8
"SELECT * FROM users WHERE id IN (356, 25, 8)",1324570,20
SELECT * FROM users WHERE id = 12147,935036,20
SELECT * FROM users WHERE id = 62609,896732,5
SELECT COUNT(*) FROM events WHERE month = 'Jun',10900494,108
SELECT * FROM users WHERE id = 9291,1055106,20
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",9503832,97
SELECT * FROM orders WHERE total > 19195,5194767,65
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3623996,33
SELECT * FROM orders WHERE total > 23719,4841052,60
SELECT * FROM users WHERE id = 9290,859572,16
SELECT * FROM users WHERE id = 43169,884382,18
SELECT * FROM orders WHERE total > 99484,4463277,49
SELECT * FROM users WHERE id = 72665,1038282,22
SELECT * FROM users WHERE id = 95231,1029068,17
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",9484007,103
SELECT * FROM users WHERE id = 61275,912903,19
SELECT * FROM users WHERE id = 90940,1057658,12
SELECT * FROM users WHERE id = 5830,838376,16
SELECT * FROM orders WHERE total > 12735,5835619,64
SELECT * FROM users WHERE id = 83811,877949,19
SELECT * FROM orders WHERE total > 93392,5556322,61
SELECT * FROM orders WHERE total > 95726,4738876,54
SELECT COUNT(*) FROM events WHERE month = 'Mar',9409114,90
SELECT * FROM orders WHERE total > 18694,4385289,47
SELECT COUNT(*) FROM events WHERE month = 'Mar',11445185,111
SELECT * FROM products WHERE category = 'toys',1624213,17
SELECT * FROM orders WHERE total > 37827,5784977,72
SELECT * FROM orders WHERE total > 93760,5318666,51
SELECT * FROM sessions WHERE duration > 74198,3429814,34
SELECT COUNT(*) FROM events WHERE month = 'May',10068572,96
SELECT COUNT(*) FROM events WHERE month = 'Mar',11984529,122
SELECT * FROM orders WHERE total > 26000,5779476,65
SELECT * FROM users WHERE id = 65352,867462,19
SELECT * FROM orders WHERE total > 82361,4800008,63
SELECT * FROM sessions WHERE duration > 57161,4774364,44
SELECT COUNT(*) FROM events WHERE month = 'May',11560257,130
SELECT * FROM users WHERE id = 2707,1073661,25
SELECT COUNT(*) FROM events WHERE month = 'Mar',10539274,117
SELECT * FROM users WHERE id = 97370,1005399,25
SELECT * FROM orders WHERE total > 28068,5739771,64
"SELECT * FROM users WHERE id IN (247, 394, 91, 741)",1023214,20
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2464929,19
"SELECT * FROM users WHERE id IN (932, 533, 779, 875, 149)",1430603,25
SELECT * FROM users WHERE id = 62863,945424,11
SELECT * FROM orders WHERE total > 27128,4139021,48
SELECT * FROM products WHERE category = 'electronics',2061624,30
SELECT * FROM orders WHERE total > 80767,4353813,48
SELECT * FROM orders WHERE total > 5391,4211822,45
SELECT * FROM orders WHERE total > 94496,5853127,60
SELECT * FROM users WHERE id = 85558,1036286,18
SELECT * FROM orders WHERE total > 59937,5782826,63
SELECT * FROM users WHERE id = 26416,1186315,26
SELECT * FROM orders WHERE total > 34260,5204188,65
SELECT * FROM users WHERE id = 43320,1035138,7
SELECT * FROM products WHERE category = 'toys',1663883,29
"SELECT * FROM orders WHERE status IN ('returned', 'cancelled', 'pending')",2068017,30
SELECT * FROM sessions WHERE duration > 46127,3369635,31
SELECT * FROM users WHERE id = 3866,840184,14
SELECT COUNT(*) FROM events WHERE month = 'Jan',9958501,101
SELECT * FROM users WHERE id = 51020,963813,5
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2606495,40
SELECT COUNT(*) FROM events WHERE month = 'Feb',10559035,106
SELECT * FROM users WHERE id = 17805,874216,20
SELECT * FROM users WHERE id = 59280,1123675,19
SELECT * FROM orders WHERE total > 22815,4773868,43
SELECT COUNT(*) FROM events WHERE month = 'Apr',9379671,97
SELECT * FROM users WHERE id = 11239,1091057,17
SELECT COUNT(*) FROM events WHERE month = 'May',11264128,124
SELECT * FROM users WHERE id = 59384,997084,6
SELECT * FROM users WHERE id = 9452,995851,21
SELECT * FROM orders WHERE total > 91916,5096378,55
SELECT * FROM users WHERE id = 49970,986514,4
SELECT COUNT(*) FROM events WHERE month = 'Jan',11603675,121
SELECT * FROM users WHERE id = 56478,941524,14
SELECT * FROM orders WHERE total > 99615,4455897,51
SELECT * FROM users WHERE id = 92816,835552,8
SELECT * FROM users WHERE id = 31818,1118384,21
SELECT * FROM products WHERE category = 'auto',2290470,19
SELECT * FROM orders WHERE total > 62378,5997298,57
SELECT * FROM users WHERE id = 53494,922226,23
"SELECT * FROM users WHERE id IN (948, 631, 348, 716)",1202192,7
SELECT * FROM orders WHERE total > 49934,4776124,53
SELECT * FROM orders WHERE total > 22486,4598449,43
SELECT COUNT(*) FROM events WHERE month = 'Feb',11873976,118
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2378054,21
SELECT * FROM users WHERE id = 92407,812882,22
SELECT * FROM users WHERE id = 37774,999497,10
SELECT * FROM users WHERE id = 27518,1125358,19
SELECT * FROM users WHERE id = 59400,852434,14
SELECT COUNT(*) FROM events WHERE month = 'Apr',11414042,128
SELECT * FROM users WHERE id = 26073,1083684,8
SELECT COUNT(*) FROM events WHERE month = 'May',9981701,101
SELECT * FROM orders WHERE total > 6619,5642293,54
SELECT * FROM sessions WHERE duration > 19181,4834433,63
SELECT * FROM users WHERE id = 80457,969837,13
SELECT * FROM orders WHERE total > 56725,5745408,56
SELECT * FROM products WHERE category = 'garden',2273746,22
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",2487404,31
SELECT COUNT(*) FROM events WHERE month = 'Apr',10444312,103
SELECT * FROM users WHERE id = 75207,859059,13
"SELECT * FROM users WHERE id IN (146, 982, 482, 613, 404)",1443737,15
SELECT * FROM users WHERE id = 89181,1087036,7
SELECT * FROM products WHERE category = 'electronics',1565540,11
SELECT * FROM products WHERE category = 'garden',1628914,29
SELECT * FROM products WHERE category = 'auto',2115802,35
SELECT * FROM users WHERE id = 51113,1161682,12
SELECT * FROM orders WHERE total > 88485,4223348,50
SELECT * FROM users WHERE id = 58280,1021161,24
SELECT * FROM users WHERE id = 51560,1097128,9
SELECT * FROM orders WHERE total > 71342,4482840,44
SELECT * FROM orders WHERE total > 55361,4873442,60
SELECT * FROM users WHERE id IN (509),1118231,24
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",9898120,101
SELECT * FROM sessions WHERE duration > 90494,4001170,53
SELECT * FROM orders WHERE total > 49175,4082519,53
SELECT COUNT(*) FROM events WHERE month = 'Jan',11558978,116
SELECT * FROM users WHERE id = 32441,1053684,20
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2028336,20
SELECT COUNT(*) FROM events WHERE month = 'Mar',11076950,109
SELECT * FROM users WHERE id = 82232,1093195,20
SELECT * FROM users WHERE id = 48649,975827,17
SELECT * FROM products WHERE category = 'toys',1579542,14
SELECT * FROM users WHERE id = 73915,1092174,13
SELECT * FROM orders WHERE total > 52943,4215803,39
SELECT * FROM users WHERE id = 7367,960228,10
SELECT * FROM users WHERE id = 7517,1056954,19
SELECT * FROM users WHERE id = 12601,943875,16
SELECT * FROM orders WHERE total > 61875,4906846,57
SELECT * FROM users WHERE id = 80117,1156814,7
SELECT * FROM orders WHERE total > 13857,4828800,56
SELECT * FROM users WHERE id = 31978,1097022,16
"SELECT * FROM orders WHERE status IN ('pending', 'returned')",2188470,19
SELECT * FROM users WHERE id = 36157,964998,5
SELECT * FROM users WHERE id = 84200,872953,22
"SELECT user_id, SUM(total) FROM orders WHERE region = 'electronics' GROUP BY user_id",9054130,100
SELECT * FROM users WHERE id = 55693,1073247,19
SELECT * FROM users WHERE id = 13882,847891,15
SELECT COUNT(*) FROM events WHERE month = 'Feb',10899367,112
SELECT * FROM users WHERE id = 67104,869711,10
SELECT * FROM users WHERE id = 92103,1127804,19
SELECT * FROM products WHERE category = 'auto',2216181,25
SELECT COUNT(*) FROM events WHERE month = 'Mar',11959165,119
SELECT * FROM users WHERE id = 76763,1029506,5
SELECT * FROM orders WHERE total > 15076,4269263,46
SELECT * FROM orders WHERE total > 79608,4779671,43
SELECT COUNT(*) FROM events WHERE month = 'May',10526695,107
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2978060,29
SELECT * FROM users WHERE id = 83623,981156,7
SELECT * FROM products WHERE category = 'electronics',2201109,32
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",8332239,90
SELECT * FROM orders WHERE total > 19611,4682736,49
SELECT * FROM orders WHERE total > 79916,5754380,62
SELECT * FROM orders WHERE total > 45763,5941318,60
SELECT * FROM users WHERE id = 49264,846717,7
SELECT * FROM users WHERE id = 23697,1057719,5
SELECT * FROM products WHERE category = 'auto',2166608,35
SELECT COUNT(*) FROM events WHERE month = 'Apr',11739102,116
SELECT * FROM orders WHERE total > 91888,5835637,60
SELECT * FROM users WHERE id = 7021,1137702,20
SELECT * FROM sessions WHERE duration > 17361,4108911,48
SELECT * FROM orders WHERE total > 68327,5537748,52
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3551127,43
SELECT * FROM orders WHERE total > 34027,5927859,74
SELECT COUNT(*) FROM events WHERE month = 'Apr',11356948,118
SELECT * FROM orders WHERE total > 73430,5109490,49
SELECT * FROM users WHERE id = 48701,988675,5
SELECT * FROM users WHERE id = 9663,854775,14
SELECT * FROM users WHERE id = 88404,828290,17
SELECT * FROM users WHERE id = 62497,847926,12
SELECT * FROM orders WHERE total > 83668,5406886,58
SELECT * FROM users WHERE id = 54169,963956,10
SELECT * FROM users WHERE id = 26887,1173112,17
SELECT * FROM users WHERE id = 46866,1032321,19
SELECT COUNT(*) FROM events WHERE month = 'Feb',10004213,110
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2499023,35
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3389698,37
SELECT * FROM users WHERE id = 95956,880019,13
SELECT * FROM products WHERE category = 'electronics',1566166,17
"SELECT * FROM users WHERE id IN (973, 952)",1224735,21
SELECT * FROM orders WHERE total > 85349,5515867,51
"SELECT * FROM orders WHERE status IN ('pending', 'delivered', 'returned', 'cancelled')",2278526,18
SELECT * FROM users WHERE id = 81269,1077717,11
SELECT * FROM users WHERE id = 89601,1032287,8
SELECT * FROM users WHERE id = 52271,906528,13
SELECT * FROM orders WHERE total > 4820,4538159,60
SELECT * FROM users WHERE id = 92669,860218,23
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",2812151,24
SELECT * FROM users WHERE id = 28143,978491,14
"SELECT * FROM users WHERE id IN (913, 98, 538, 103)",1177490,9
SELECT * FROM orders WHERE total > 59779,5810911,64
SELECT * FROM users WHERE id = 87888,931249,11
SELECT * FROM users WHERE id = 5023,906306,7
SELECT * FROM orders WHERE total > 88390,5364762,62
SELECT * FROM users WHERE id = 78147,934820,4
SELECT * FROM users WHERE id = 50933,1123168,17
SELECT * FROM users WHERE id = 2772,1024407,7
SELECT COUNT(*) FROM events WHERE month = 'Apr',9434999,99
SELECT * FROM orders WHERE total > 39196,5121768,53
SELECT COUNT(*) FROM events WHERE month = 'Jun',10158617,106
SELECT * FROM products WHERE category = 'books',2161465,16
SELECT COUNT(*) FROM events WHERE month = 'Feb',10870565,115
SELECT * FROM orders WHERE total > 39320,4182020,56
SELECT COUNT(*) FROM events WHERE month = 'Mar',9256476,98
SELECT * FROM orders WHERE total > 2558,4575422,40
SELECT * FROM users WHERE id = 15117,938418,22
SELECT * FROM users WHERE id = 59335,1141880,19
SELECT * FROM users WHERE id = 92498,1165346,13
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",7991457,81
SELECT * FROM users WHERE id = 2057,1181729,21
SELECT * FROM users WHERE id = 96963,1199162,22
SELECT * FROM users WHERE id = 7948,1041831,5
SELECT * FROM orders WHERE total > 94475,4643055,48
SELECT COUNT(*) FROM events WHERE month = 'Feb',10517339,118
SELECT * FROM orders WHERE total > 23589,4976725,46
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",3163584,35
SELECT * FROM orders WHERE total > 84341,5308698,58
SELECT * FROM users WHERE id = 25194,918881,10
SELECT COUNT(*) FROM events WHERE month = 'May',10356045,103
SELECT * FROM users WHERE id = 72234,1016011,21
SELECT * FROM orders WHERE total > 88873,5628768,60
SELECT * FROM users WHERE id = 93387,800773,8
SELECT * FROM orders WHERE total > 78715,5384102,59
SELECT * FROM users WHERE id = 33300,904398,9
SELECT * FROM products WHERE category = 'books',1639213,18
SELECT * FROM users WHERE id = 12207,802127,13
SELECT * FROM orders WHERE total > 91760,4862487,45
SELECT * FROM users WHERE id = 66711,935392,21
SELECT * FROM users WHERE id = 57849,943543,21
SELECT COUNT(*) FROM events WHERE month = 'Jun',10859058,107
SELECT * FROM products WHERE category = 'auto',2493323,23
SELECT * FROM users WHERE id = 2134,989133,14
SELECT * FROM users WHERE id = 83564,1089473,22
SELECT COUNT(*) FROM events WHERE month = 'Mar',10233575,112
"SELECT * FROM users WHERE id IN (495, 113, 235, 343)",1040989,25
SELECT * FROM users WHERE id = 51145,1069299,15
SELECT * FROM products WHERE category = 'books',1594198,24
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",8463797,87
SELECT * FROM orders WHERE total > 82589,5584447,53
SELECT * FROM users WHERE id = 50207,1129886,6
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3455228,43
SELECT COUNT(*) FROM events WHERE month = 'May',9500097,97
SELECT * FROM users WHERE id = 12128,906912,9
SELECT * FROM users WHERE id = 84882,1139948,18
SELECT * FROM users WHERE id = 69413,1036702,20
SELECT * FROM sessions WHERE duration > 6289,4913797,64
SELECT * FROM users WHERE id = 40247,1197593,15
SELECT * FROM orders WHERE total > 65254,4543919,49
SELECT * FROM users WHERE id = 8208,876067,18
SELECT * FROM products WHERE category = 'toys',1681840,27
"SELECT * FROM orders WHERE status IN ('pending', 'pending', 'pending', 'pending')",2778311,39
SELECT * FROM orders WHERE total > 51290,4486501,42
SELECT * FROM users WHERE id = 54699,949103,14
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2712989,42
SELECT * FROM orders WHERE total > 73714,4951122,60
SELECT * FROM users WHERE id = 73236,972716,21
SELECT * FROM users WHERE id = 43992,1163794,17
SELECT COUNT(*) FROM events WHERE month = 'Feb',10427550,101
SELECT * FROM users WHERE id = 61406,1136949,19
SELECT * FROM orders WHERE total > 79835,4188720,44
"SELECT * FROM orders WHERE status IN ('delivered', 'returned', 'delivered', 'delivered')",2987879,38
SELECT * FROM users WHERE id = 38731,945722,12
SELECT * FROM users WHERE id = 77995,1123302,19
SELECT * FROM users WHERE id = 3903,955723,15
SELECT * FROM users WHERE id = 3519,1022412,21
SELECT COUNT(*) FROM events WHERE month = 'Jan',11251028,124
SELECT * FROM users WHERE id = 4502,1048702,7
SELECT * FROM users WHERE id = 3940,1194437,22
SELECT * FROM orders WHERE total > 67327,5520683,54
SELECT * FROM orders WHERE total > 1214,5141197,59
SELECT * FROM users WHERE id = 2196,1157964,17
SELECT * FROM users WHERE id = 77441,913854,23
SELECT COUNT(*) FROM events WHERE month = 'Mar',9244716,106
SELECT * FROM users WHERE id = 78032,906203,10
SELECT * FROM users WHERE id IN (248),1492220,19
SELECT COUNT(*) FROM events WHERE month = 'Apr',9456315,94
SELECT * FROM orders WHERE total > 11116,4069243,43
"SELECT name, email FROM users WHERE signup_date > '2025-01-01'",3314384,40
SELECT * FROM users WHERE id = 58495,963636,23
SELECT * FROM users WHERE id = 13272,801031,15
SELECT * FROM products WHERE category = 'electronics',2007666,35
SELECT COUNT(*) FROM events WHERE month = 'Apr',9140656,96
SELECT COUNT(*) FROM events WHERE month = 'Apr',10601938,105
SELECT * FROM orders WHERE total > 19066,4856354,53
SELECT * FROM products WHERE category = 'garden',2411591,26
SELECT COUNT(*) FROM events WHERE month = 'Feb',10694664,107
SELECT * FROM users WHERE id = 44758,896958,5
SELECT * FROM users WHERE id = 50536,915531,12
SELECT * FROM orders WHERE total > 41028,5885780,65
"SELECT * FROM users WHERE id IN (339, 418)",1053138,8
SELECT * FROM users WHERE id = 70922,915013,20
SELECT * FROM sessions WHERE duration > 57456,3842707,34
SELECT * FROM orders WHERE total > 93452,5748428,66
SELECT * FROM users WHERE id = 10491,868181,6
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3901496,35
SELECT COUNT(*) FROM events WHERE month = 'Jun',11686612,114
SELECT * FROM products WHERE category = 'electronics',1838696,22
SELECT COUNT(*) FROM events WHERE month = 'Apr',9183980,86
SELECT * FROM orders WHERE total > 20854,4332366,45
SELECT * FROM orders WHERE total > 1252,5427162,53
SELECT * FROM orders WHERE total > 61941,4401749,54
SELECT * FROM users WHERE id = 25734,1023698,15
SELECT * FROM products WHERE category = 'toys',2403067,32
SELECT * FROM users WHERE id = 58345,1085673,13
SELECT * FROM orders WHERE total > 95015,4332096,58
"SELECT name, email FROM users WHERE signup_date > '2025-03-15'",2837965,23
SELECT * FROM orders WHERE total > 77387,5236383,66
SELECT * FROM orders WHERE total > 18599,5803477,53
SELECT * FROM users WHERE id = 42254,1169814,24
SELECT * FROM products WHERE category = 'books',2135332,20
SELECT * FROM products WHERE category = 'toys',2114483,27
SELECT * FROM users WHERE id = 46331,1038541,20
SELECT * FROM users WHERE id = 648,994971,9
SELECT * FROM orders WHERE total > 65944,5339995,62
SELECT * FROM users WHERE id = 14238,808921,11
SELECT * FROM users WHERE id = 85240,1040734,12
SELECT * FROM users WHERE id = 18482,873576,20
SELECT COUNT(*) FROM events WHERE month = 'Mar',11834536,120
SELECT * FROM orders WHERE total > 2886,4146630,56
SELECT * FROM users WHERE id = 78205,1035614,18
SELECT * FROM users WHERE id = 31492,1198550,13
SELECT * FROM orders WHERE total > 22477,4842999,60
SELECT * FROM users WHERE id = 98667,1076586,10
"SELECT * FROM users WHERE id IN (744, 199, 334, 319)",1300296,8
